Date,Open,High,Low,Close,Adj Close,Volume,Ticker
5/10/2017,1.539999962,1.639999986,1.539999962,1.567000031,1.429430246,40700,FSI
5/11/2017,1.590000033,1.620000005,1.549999952,1.590000033,1.450411081,26400,FSI
5/12/2017,1.610000014,1.669999957,1.559999943,1.669999957,1.523387671,75300,FSI
5/15/2017,1.669999957,1.769999981,1.669999957,1.730000019,1.578120112,66300,FSI
5/16/2017,1.769999981,1.769999981,1.75,1.75,1.59636426,35600,FSI
5/17/2017,1.75999999,1.75999999,1.580000043,1.717000008,1.566261411,67100,FSI
5/18/2017,1.679999948,1.720000029,1.679999948,1.720000029,1.568998098,9300,FSI
5/19/2017,1.769999981,1.889999986,1.769999981,1.789999962,1.632852554,138000,FSI
5/22/2017,1.820000052,2.089999914,1.820000052,2.039999962,1.860904574,428600,FSI
5/23/2017,2.00999999,2.019999981,1.860000014,1.960000038,1.787927985,156900,FSI
5/24/2017,2.059999943,2.190000057,2,2.170000076,1.979491711,276500,FSI
5/25/2017,2.200000048,2.279999971,2.150000095,2.200000048,2.006857872,253500,FSI
5/26/2017,2.180000067,2.329999924,2.180000067,2.279999971,2.0798347,157400,FSI
5/30/2017,2.220000029,2.279000044,1.970000029,2.029999971,1.85178256,334500,FSI
5/31/2017,2.170000076,2.170000076,2,2.029999971,1.85178256,130200,FSI
6/1/2017,2.109999895,2.109999895,2.00999999,2.039999962,1.860904574,26800,FSI
6/2/2017,2.049999952,2.140000105,2.049999952,2.130000114,1.943003535,98600,FSI
6/5/2017,2.210000038,2.584000111,2.210000038,2.480000019,2.262276173,968300,FSI
6/6/2017,2.450000048,2.5,2.269999981,2.470000029,2.253154278,209200,FSI
6/7/2017,2.450000048,2.470000029,2.279999971,2.335999966,2.130918264,154800,FSI
6/8/2017,2.339999914,2.339999914,2.200000048,2.299999952,2.098078728,99600,FSI
6/9/2017,2.24000001,2.296999931,2.069999933,2.119999886,1.933881044,183000,FSI
6/12/2017,2.105000019,2.105000019,1.850000024,1.909999967,1.742317438,282700,FSI
6/13/2017,1.960000038,1.960000038,1.860000014,1.929999948,1.760561705,61700,FSI
6/14/2017,1.940000057,2.039999962,1.940000057,2.00999999,1.833538413,60500,FSI
6/15/2017,1.950000048,1.99000001,1.899999976,1.950000048,1.778805971,28800,FSI
6/16/2017,1.950000048,1.950000048,1.850000024,1.909999967,1.742317438,35600,FSI
6/19/2017,1.909999967,1.919999957,1.799999952,1.799999952,1.641974688,97000,FSI
6/20/2017,1.75999999,1.850000024,1.700000048,1.820000052,1.660218954,65000,FSI
6/21/2017,1.789999962,1.940000057,1.789999962,1.870000005,1.705829263,106200,FSI
6/22/2017,1.899999976,1.899999976,1.853000045,1.899999976,1.733195543,23700,FSI
6/23/2017,1.929999948,1.950000048,1.809999943,1.909999967,1.742317438,109100,FSI
6/26/2017,1.889999986,1.889999986,1.799999952,1.850000024,1.687585115,42000,FSI
6/27/2017,1.919999957,1.980000019,1.840000033,1.980000019,1.806172132,53100,FSI
6/28/2017,1.909999967,1.927000046,1.850000024,1.850000024,1.687585115,39800,FSI
6/29/2017,1.870000005,1.914999962,1.870000005,1.879999995,1.714951277,21400,FSI
6/30/2017,1.899999976,1.922000051,1.809999943,1.856999993,1.693970442,30900,FSI
7/3/2017,1.830000043,1.889999986,1.820000052,1.889999986,1.724073529,10800,FSI
7/5/2017,1.830000043,1.850000024,1.75,1.830000043,1.669340968,76600,FSI
7/6/2017,1.799999952,1.909999967,1.75,1.758999944,1.604574084,63000,FSI
7/7/2017,1.74000001,1.786999941,1.700000048,1.75999999,1.605486393,65100,FSI
7/10/2017,1.75,1.799999952,1.75,1.789999962,1.632852554,24500,FSI
7/11/2017,1.769999981,1.799999952,1.769999981,1.779999971,1.623730421,12000,FSI
7/12/2017,1.809999943,1.830000043,1.797000051,1.809999943,1.651096702,38400,FSI
7/13/2017,1.820000052,1.870000005,1.809999943,1.850000024,1.687585115,51000,FSI
